datetime,AllEventTimeAdjustmentSec,Event0TimeAdjustmentSec,Event1TimeAdjustmentSec,Event0WaitTime,Event1WaitTime,Event2WaitTime,BatteryLimitStop,BatteryLimitStart,BatteryLimitSwitch
2026-05-12 15:26:23,,,,,,,,,
2026-05-12 15:41:31,,,,,,,,,
2026-05-12 15:54:09,,,,,,,,,
2026-05-12 16:08:19,,,,,,,,,
2026-05-12 16:42:16,,,,,,,,,
2026-05-20 18:51:57,,,,,,,,,
2026-05-27 11:05:36,,,,,,,,,
2026-05-27 11:16:04,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-27 11:58:54,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-27 14:48:07,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-27 16:06:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-28 01:01:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-28 05:11:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-28 13:53:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-28 16:50:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-29 01:32:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-29 05:42:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-29 14:21:40,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-29 17:27:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-30 02:01:40,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-30 06:11:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-30 14:47:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-30 17:59:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-31 02:28:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-31 06:37:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-31 15:10:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-05-31 18:27:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-01 02:56:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-01 07:03:36,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-01 15:34:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-01 18:54:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-02 03:23:38,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
2026-06-02 07:29:37,0.0,0.0,0.0,0.16666666666666666,3.6666666666666665,0.16666666666666666,20.0,40.0,1.0
